zip_code,city,state,metro,county_name,date,rental_price
10023,New York,NY,New York-Newark-Jersey City,New York County,2012-08-01,3500
10023,New York,NY,New York-Newark-Jersey City,New York County,2012-09-01,3500
10023,New York,NY,New York-Newark-Jersey City,New York County,2012-10-01,3500
10023,New York,NY,New York-Newark-Jersey City,New York County,2012-11-01,3410
10023,New York,NY,New York-Newark-Jersey City,New York County,2012-12-01,3400
10023,New York,NY,New York-Newark-Jersey City,New York County,2013-01-01,3400
10023,New York,NY,New York-Newark-Jersey City,New York County,2013-02-01,3395
10023,New York,NY,New York-Newark-Jersey City,New York County,2013-03-01,3400
10023,New York,NY,New York-Newark-Jersey City,New York County,2013-04-01,3300
10023,New York,NY,New York-Newark-Jersey City,New York County,2013-05-01,3300
10023,New York,NY,New York-Newark-Jersey City,New York County,2013-06-01,3399
10023,New York,NY,New York-Newark-Jersey City,New York County,2013-07-01,3400
10023,New York,NY,New York-Newark-Jersey City,New York County,2013-08-01,3360
10023,New York,NY,New York-Newark-Jersey City,New York County,2013-09-01,3500
10023,New York,NY,New York-Newark-Jersey City,New York County,2013-10-01,3500
10023,New York,NY,New York-Newark-Jersey City,New York County,2013-11-01,3500
10023,New York,NY,New York-Newark-Jersey City,New York County,2013-12-01,3500
10023,New York,NY,New York-Newark-Jersey City,New York County,2014-01-01,3587.5
10023,New York,NY,New York-Newark-Jersey City,New York County,2014-02-01,3600
10023,New York,NY,New York-Newark-Jersey City,New York County,2014-03-01,3695
10023,New York,NY,New York-Newark-Jersey City,New York County,2014-04-01,3700
10023,New York,NY,New York-Newark-Jersey City,New York County,2014-05-01,3695
10023,New York,NY,New York-Newark-Jersey City,New York County,2014-06-01,3900
10023,New York,NY,New York-Newark-Jersey City,New York County,2014-07-01,3700
10023,New York,NY,New York-Newark-Jersey City,New York County,2014-08-01,3762.5
10023,New York,NY,New York-Newark-Jersey City,New York County,2014-09-01,3762.5
10023,New York,NY,New York-Newark-Jersey City,New York County,2014-10-01,3800
10023,New York,NY,New York-Newark-Jersey City,New York County,2014-11-01,3750
