RegionID,RegionName,SizeRank,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08
394612,"Fort Wayne, IN",109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119500,120400,120800,118500,116900,115800,116100,112000,107200,103000,108300,113300,117800,118500,120700,120200,120800,119400,121300,117100,116000,113800,116200,118100,121600,123600,123000,123500,123100,118200,117600,117500,125600,126800,129900,129500,128500,126000,124800,127400,129300,131500,128700,130000,130400,129400,128100,129100,130800,130200,130300,131400,133100,132800,135300,137500,138700,139600,138600,137700,136800,138100,139600,142600,143400,145400,146100,145800,142500,143500,147100,152800,153300,154000,152800,156400
395050,"Salinas, CA",110,,,,,,,,,,,,,,,,,,,218500,228100,229100,239000,242500,244300,235800,227100,231600,240300,248000,245500,245700,248400,239400,233100,229300,234900,235400,235600,237300,248800,245900,247700,250700,257100,266700,264500,269100,258800,271700,272800,280200,260900,273800,286100,310300,306000,309600,316500,331800,329600,322200,322900,345400,368500,376800,385500,390100,398200,396900,401500,401200,408900,412500,420500,419900,414100,415000,420300,425100,428500,429300,425900,421200,429700,445600,452500,447500,447500,446800,453000,452600,460900,469300,478700,487200,485000,475200,475400,477700,489000,492000,495000,516300,513800,515900,494800,522300,529500,538200,520800,529200,562400,576300,574600,552700,550800,562000,569400,581700,572400,570400,569900,592300,593500,590400,562500,571400,580800,593200,592000,580900,577000,548400,544900,551500,567500,589000,593500
395183,"Vallejo, CA",111,330700,325300,306800,288300,271700,260600,254500,243500,236300,216400,203100,192100,183800,177100,169500,170600,177200,184700,190200,190700,195600,200700,206700,202600,196700,194500,197400,199800,196400,192800,189700,191600,194800,193200,189400,180600,182100,179000,176000,170000,167300,169400,173000,177500,178800,178900,175200,173000,174500,176800,179700,182800,184700,185900,185000,191400,201300,205000,210200,209800,215400,218100,226100,234800,244900,257300,262800,265200,262200,265300,275700,276800,288700,288200,295000,290000,298200,300400,304000,298600,303700,306800,309700,313600,317000,319400,317700,320500,321300,325100,324100,327900,328800,327300,330600,336100,343500,346600,347800,349300,350300,359200,359200,363600,356300,364700,365300,369300,368700,374200,376700,380800,385200,391000,396900,398000,402600,402800,406700,410700,419300,420200,420300,416500,420400,424500,427900,427600,428900,420700,418000,409300,419500,421200,424500,420600,425300,
395015,"Reading, PA",112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133400,136500,136200,140900,138400,138500,138900,141700,145100,143900,145100,142900,145400,143400,144600,144300,143800,145300,144200,142800,140700,140300,142200,144600,145700,145700,145400,142500,143500,141900,145700,145500,152100,150800,151700,153200,157300,159900,155300,154700,154800,
394439,"Canton, OH",113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102400,96700,97400,99300,108200,110500,111300,110100,110500,111700,111600,113100,107800,108900,107100,109600,107800,106600,108200,111100,113500,111600,111000,108400,109500,107200,106900,109000,112600,116100,116400,115700,114800,112100,111600,112500,117700,118000,120100,117800,118600,117800,117600,117000,115800,118100,119200,123400,124000,127200,126900,126300,122700,121900,120000,120800,120500,121400,122900,123000,124800,125300,131700,130400,131400,127400,129900,130700,127400
394820,"Manchester, NH",114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,249000,250400,247800,246700,249800,251800,253800,257400,253100,253600,251300,259100,263900,265800,262200,262900,266300,271500,268500,266400,264800,269000,268700,270600,271200,274800,276300
395048,"Salem, OR",115,194100,195700,197600,199200,195800,191800,185900,185600,187700,188900,193100,191800,189800,185900,185500,182600,179000,175900,176200,176700,178300,177200,171000,170000,172000,177800,174200,169700,166900,162400,160900,157600,159600,159200,157100,154700,153100,151900,150300,148700,149000,151300,154700,157000,155200,153300,151900,150000,149700,148100,148000,146300,148700,151400,155600,155900,155700,151800,152900,149800,152900,153300,158300,159200,162100,164300,170900,172500,172800,169500,166200,169800,170700,173800,174200,176500,179800,180900,181100,181300,181100,182000,180200,180600,183200,187800,190800,192900,195400,194500,194800,194300,198600,200700,202900,202800,202500,204700,209100,214100,214300,215800,217500,221800,225200,226400,228100,229200,233200,235400,237600,237600,238000,240200,243600,246800,249700,253600,258600,262400,264600,266800,266200,266100,266300,271300,273800,274500,274800,274300,277900,280800,284900,285500,282400,282800,282600,287000
394327,"Anchorage, AK",116,249500,245900,246400,247900,246700,247300,240000,233800,234400,238000,251000,253300,262900,253800,252100,244400,245100,243400,243800,238200,239200,238600,249000,251200,253300,249400,247400,244300,244300,239500,239800,240700,249100,252300,252500,263100,260500,259500,243600,249200,246500,243000,238900,240800,247600,249500,251800,251800,250100,246700,247400,251700,254400,253200,248400,249000,254700,260200,264500,262800,264400,260400,260800,258400,260500,260000,259800,258300,258200,256800,254700,249900,250600,252000,252400,251700,252000,256000,255400,250800,248100,252400,259800,265400,264600,264800,264900,266900,267100,264700,264700,265000,266200,263900,264900,271200,271100,273000,269200,271300,269200,262500,261400,260300,271700,272600,278400,274000,273400,264100,260500,261600,262100,256100,256700,263600,272400,271900,270300,269300,269800,272300,273800,271700,273200,268600,268600,260900,268600,271200,278300,291900,309300,324500,325800,328200,324700,325400
394520,"Davenport, IL",117,114400,116700,106300,100900,102600,103200,104000,100800,99800,99200,101400,108100,111500,112100,105900,105300,106000,106500,106900,105000,104400,103200,106500,112300,115000,112800,108100,106000,105100,108100,113200,115400,113700,103300,103000,104400,108200,107800,104400,107600,106400,111100,110500,111000,107000,103700,98200,104000,106900,114100,109900,109700,110700,112600,115700,114500,107100,105900,107000,119900,119400,119400,110900,110600,110100,113000,113000,111400,110300,109400,111300,113500,114200,114000,111500,111500,111500,111900,112200,111400,112700,111700,113700,114100,118100,117500,119100,118700,120000,119400,122300,122700,118400,110200,112700,117500,121800,119900,120000,119200,117800,118600,119500,120500,118700,119600,116700,111400,109300,111000,116800,119300,120900,120500,117300,118600,120200,123800,120200,125700,130500,136900,130800,125100,121000,123200,128500,133200,131400,124400,117400,123600,128400,132400,126600,128800,133100,
394972,"Peoria, IL",118,121500,121400,112400,108900,106600,103800,103700,104400,105100,108300,103100,110900,106600,109600,103500,105400,106600,106200,107500,106500,104400,108500,107900,109100,101500,106600,106600,109000,104700,103400,102100,106600,107700,114600,114300,109800,102200,99500,101300,101900,99000,106100,107700,113700,103600,102900,98700,105500,106500,109900,112000,112600,111700,111800,113500,115300,113000,119500,112900,116100,108400,114800,113300,113900,113700,112800,112400,111800,108500,115400,112500,113400,106600,111000,114500,116200,116100,116600,113600,112600,111600,113200,116300,116300,115800,113800,119200,121100,121700,117300,116400,117300,113000,113200,110700,116800,118000,120200,118500,114600,113600,111300,113900,114000,116100,119500,119200,119000,115600,115100,114200,113100,110500,112200,114000,117400,116200,120800,124900,124600,118900,121600,122100,122200,117000,117700,119500,115100,111600,114700,120300,126200,120500,117000,115500,118200,116100,
