metro,date,value_type,mean_value
New York-Newark-Jersey City,2000-11-01,mean_rental_price,NaN
New York-Newark-Jersey City,2000-12-01,mean_zhvi,273852.7848101266
New York-Newark-Jersey City,2000-12-01,mean_sale_price,NaN
New York-Newark-Jersey City,2000-12-01,mean_zri,NaN
New York-Newark-Jersey City,2000-12-01,mean_rental_price,NaN
New York-Newark-Jersey City,2001-01-01,mean_zhvi,276882.91139240505
New York-Newark-Jersey City,2001-01-01,mean_sale_price,NaN
New York-Newark-Jersey City,2001-01-01,mean_zri,NaN
New York-Newark-Jersey City,2001-01-01,mean_rental_price,NaN
New York-Newark-Jersey City,2001-02-01,mean_zhvi,279837.9746835443
New York-Newark-Jersey City,2001-02-01,mean_sale_price,NaN
New York-Newark-Jersey City,2001-02-01,mean_zri,NaN
New York-Newark-Jersey City,2001-02-01,mean_rental_price,NaN
New York-Newark-Jersey City,2001-03-01,mean_zhvi,282713.417721519
New York-Newark-Jersey City,2001-03-01,mean_sale_price,NaN
New York-Newark-Jersey City,2001-03-01,mean_zri,NaN
New York-Newark-Jersey City,2001-03-01,mean_rental_price,NaN
New York-Newark-Jersey City,2001-04-01,mean_zhvi,285623.2911392405
New York-Newark-Jersey City,2001-04-01,mean_sale_price,NaN
New York-Newark-Jersey City,2001-04-01,mean_zri,NaN
New York-Newark-Jersey City,2001-04-01,mean_rental_price,NaN
New York-Newark-Jersey City,2001-05-01,mean_zhvi,288514.30379746837
New York-Newark-Jersey City,2001-05-01,mean_sale_price,NaN
New York-Newark-Jersey City,2001-05-01,mean_zri,NaN
New York-Newark-Jersey City,2001-05-01,mean_rental_price,NaN
New York-Newark-Jersey City,2001-06-01,mean_zhvi,291399.2405063291
New York-Newark-Jersey City,2001-06-01,mean_sale_price,NaN
New York-Newark-Jersey City,2001-06-01,mean_zri,NaN
New York-Newark-Jersey City,2001-06-01,mean_rental_price,NaN
New York-Newark-Jersey City,2001-07-01,mean_zhvi,294271.13924050634
New York-Newark-Jersey City,2001-07-01,mean_sale_price,NaN
New York-Newark-Jersey City,2001-07-01,mean_zri,NaN
New York-Newark-Jersey City,2001-07-01,mean_rental_price,NaN
New York-Newark-Jersey City,2001-08-01,mean_zhvi,297142.40506329114
New York-Newark-Jersey City,2001-08-01,mean_sale_price,NaN
New York-Newark-Jersey City,2001-08-01,mean_zri,NaN
New York-Newark-Jersey City,2001-08-01,mean_rental_price,NaN
New York-Newark-Jersey City,2001-09-01,mean_zhvi,300043.417721519
New York-Newark-Jersey City,2001-09-01,mean_sale_price,NaN
New York-Newark-Jersey City,2001-09-01,mean_zri,NaN
New York-Newark-Jersey City,2001-09-01,mean_rental_price,NaN
New York-Newark-Jersey City,2001-10-01,mean_zhvi,303033.9240506329
New York-Newark-Jersey City,2001-10-01,mean_sale_price,NaN
New York-Newark-Jersey City,2001-10-01,mean_zri,NaN
New York-Newark-Jersey City,2001-10-01,mean_rental_price,NaN
New York-Newark-Jersey City,2001-11-01,mean_zhvi,306123.16455696203
New York-Newark-Jersey City,2001-11-01,mean_sale_price,NaN
New York-Newark-Jersey City,2001-11-01,mean_zri,NaN
New York-Newark-Jersey City,2001-11-01,mean_rental_price,NaN
New York-Newark-Jersey City,2001-12-01,mean_zhvi,309327.7215189873
New York-Newark-Jersey City,2001-12-01,mean_sale_price,NaN
New York-Newark-Jersey City,2001-12-01,mean_zri,NaN
New York-Newark-Jersey City,2001-12-01,mean_rental_price,NaN
New York-Newark-Jersey City,2002-01-01,mean_zhvi,312589.87341772154
New York-Newark-Jersey City,2002-01-01,mean_sale_price,NaN
New York-Newark-Jersey City,2002-01-01,mean_zri,NaN
New York-Newark-Jersey City,2002-01-01,mean_rental_price,NaN
New York-Newark-Jersey City,2002-02-01,mean_zhvi,315849.11392405065
New York-Newark-Jersey City,2002-02-01,mean_sale_price,NaN
New York-Newark-Jersey City,2002-02-01,mean_zri,NaN
New York-Newark-Jersey City,2002-02-01,mean_rental_price,NaN
New York-Newark-Jersey City,2002-03-01,mean_zhvi,319097.9746835443
New York-Newark-Jersey City,2002-03-01,mean_sale_price,NaN
New York-Newark-Jersey City,2002-03-01,mean_zri,NaN
New York-Newark-Jersey City,2002-03-01,mean_rental_price,NaN
New York-Newark-Jersey City,2002-04-01,mean_zhvi,322384.8101265823
New York-Newark-Jersey City,2002-04-01,mean_sale_price,NaN
New York-Newark-Jersey City,2002-04-01,mean_zri,NaN
New York-Newark-Jersey City,2002-04-01,mean_rental_price,NaN
New York-Newark-Jersey City,2002-05-01,mean_zhvi,325682.0253164557
New York-Newark-Jersey City,2002-05-01,mean_sale_price,NaN
New York-Newark-Jersey City,2002-05-01,mean_zri,NaN
New York-Newark-Jersey City,2002-05-01,mean_rental_price,NaN
New York-Newark-Jersey City,2002-06-01,mean_zhvi,329006.2025316456
New York-Newark-Jersey City,2002-06-01,mean_sale_price,NaN
New York-Newark-Jersey City,2002-06-01,mean_zri,NaN
New York-Newark-Jersey City,2002-06-01,mean_rental_price,NaN
New York-Newark-Jersey City,2002-07-01,mean_zhvi,332352.5316455696
New York-Newark-Jersey City,2002-07-01,mean_sale_price,NaN
New York-Newark-Jersey City,2002-07-01,mean_zri,NaN
New York-Newark-Jersey City,2002-07-01,mean_rental_price,NaN
New York-Newark-Jersey City,2002-08-01,mean_zhvi,335725.1898734177
New York-Newark-Jersey City,2002-08-01,mean_sale_price,NaN
New York-Newark-Jersey City,2002-08-01,mean_zri,NaN
New York-Newark-Jersey City,2002-08-01,mean_rental_price,NaN
New York-Newark-Jersey City,2002-09-01,mean_zhvi,339181.64556962025
New York-Newark-Jersey City,2002-09-01,mean_sale_price,NaN
New York-Newark-Jersey City,2002-09-01,mean_zri,NaN
New York-Newark-Jersey City,2002-09-01,mean_rental_price,NaN
New York-Newark-Jersey City,2002-10-01,mean_zhvi,342749.746835443
New York-Newark-Jersey City,2002-10-01,mean_sale_price,NaN
New York-Newark-Jersey City,2002-10-01,mean_zri,NaN
New York-Newark-Jersey City,2002-10-01,mean_rental_price,NaN
New York-Newark-Jersey City,2002-11-01,mean_zhvi,346556.83544303797
New York-Newark-Jersey City,2002-11-01,mean_sale_price,NaN
New York-Newark-Jersey City,2002-11-01,mean_zri,NaN
New York-Newark-Jersey City,2002-11-01,mean_rental_price,NaN
New York-Newark-Jersey City,2002-12-01,mean_zhvi,350747.59493670886
New York-Newark-Jersey City,2002-12-01,mean_sale_price,NaN
New York-Newark-Jersey City,2002-12-01,mean_zri,NaN
New York-Newark-Jersey City,2002-12-01,mean_rental_price,NaN
New York-Newark-Jersey City,2003-01-01,mean_zhvi,355212.40506329114
New York-Newark-Jersey City,2003-01-01,mean_sale_price,NaN
New York-Newark-Jersey City,2003-01-01,mean_zri,NaN
New York-Newark-Jersey City,2003-01-01,mean_rental_price,NaN
New York-Newark-Jersey City,2003-02-01,mean_zhvi,359824.93670886074
New York-Newark-Jersey City,2003-02-01,mean_sale_price,NaN
New York-Newark-Jersey City,2003-02-01,mean_zri,NaN
New York-Newark-Jersey City,2003-02-01,mean_rental_price,NaN
New York-Newark-Jersey City,2003-03-01,mean_zhvi,364578.60759493674
New York-Newark-Jersey City,2003-03-01,mean_sale_price,NaN
New York-Newark-Jersey City,2003-03-01,mean_zri,NaN
New York-Newark-Jersey City,2003-03-01,mean_rental_price,NaN
New York-Newark-Jersey City,2003-04-01,mean_zhvi,369244.8101265823
New York-Newark-Jersey City,2003-04-01,mean_sale_price,NaN
New York-Newark-Jersey City,2003-04-01,mean_zri,NaN
New York-Newark-Jersey City,2003-04-01,mean_rental_price,NaN
New York-Newark-Jersey City,2003-05-01,mean_zhvi,373613.16455696203
New York-Newark-Jersey City,2003-05-01,mean_sale_price,NaN
New York-Newark-Jersey City,2003-05-01,mean_zri,NaN
New York-Newark-Jersey City,2003-05-01,mean_rental_price,NaN
New York-Newark-Jersey City,2003-06-01,mean_zhvi,377785.3164556962
New York-Newark-Jersey City,2003-06-01,mean_sale_price,NaN
New York-Newark-Jersey City,2003-06-01,mean_zri,NaN
New York-Newark-Jersey City,2003-06-01,mean_rental_price,NaN
New York-Newark-Jersey City,2003-07-01,mean_zhvi,381782.0253164557
New York-Newark-Jersey City,2003-07-01,mean_sale_price,NaN
New York-Newark-Jersey City,2003-07-01,mean_zri,NaN
New York-Newark-Jersey City,2003-07-01,mean_rental_price,NaN
New York-Newark-Jersey City,2003-08-01,mean_zhvi,385548.60759493674
New York-Newark-Jersey City,2003-08-01,mean_sale_price,NaN
New York-Newark-Jersey City,2003-08-01,mean_zri,NaN
New York-Newark-Jersey City,2003-08-01,mean_rental_price,NaN
New York-Newark-Jersey City,2003-09-01,mean_zhvi,389146.96202531643
New York-Newark-Jersey City,2003-09-01,mean_sale_price,NaN
New York-Newark-Jersey City,2003-09-01,mean_zri,NaN
New York-Newark-Jersey City,2003-09-01,mean_rental_price,NaN
New York-Newark-Jersey City,2003-10-01,mean_zhvi,392681.2658227848
New York-Newark-Jersey City,2003-10-01,mean_sale_price,NaN
New York-Newark-Jersey City,2003-10-01,mean_zri,NaN
New York-Newark-Jersey City,2003-10-01,mean_rental_price,NaN
New York-Newark-Jersey City,2003-11-01,mean_zhvi,396149.4936708861
