region_id,city,state,size_rank,date,median_income
395057,San Francisco,CA,11,1988-12,39083.11
395057,San Francisco,CA,11,1989-03,39917.86
395057,San Francisco,CA,11,1989-06,40499.98
395057,San Francisco,CA,11,1989-09,40722.27
395057,San Francisco,CA,11,1989-12,40690.95
395057,San Francisco,CA,11,1990-03,40942.45
395057,San Francisco,CA,11,1990-06,41267.66
395057,San Francisco,CA,11,1990-09,41567.75
395057,San Francisco,CA,11,1990-12,41939.7
395057,San Francisco,CA,11,1991-03,42111.08
395057,San Francisco,CA,11,1991-06,42256.35
395057,San Francisco,CA,11,1991-09,42188.21
395057,San Francisco,CA,11,1991-12,42138.71
395057,San Francisco,CA,11,1992-03,42216.98
395057,San Francisco,CA,11,1992-06,42413.67
395057,San Francisco,CA,11,1992-09,42678.04
395057,San Francisco,CA,11,1992-12,42938.22
395057,San Francisco,CA,11,1993-03,43008.99
395057,San Francisco,CA,11,1993-06,43003.53
395057,San Francisco,CA,11,1993-09,42992.95
395057,San Francisco,CA,11,1993-12,43188.35
395057,San Francisco,CA,11,1994-03,43390.53
395057,San Francisco,CA,11,1994-06,43765.59
395057,San Francisco,CA,11,1994-09,44049.81
395057,San Francisco,CA,11,1994-12,44378.28
395057,San Francisco,CA,11,1995-03,44760.17
395057,San Francisco,CA,11,1995-06,45163.77
395057,San Francisco,CA,11,1995-09,45618.29
395057,San Francisco,CA,11,1995-12,46001.37
395057,San Francisco,CA,11,1996-03,46604.99
395057,San Francisco,CA,11,1996-06,47285.71
395057,San Francisco,CA,11,1996-09,48095.55
395057,San Francisco,CA,11,1996-12,48881.34
395057,San Francisco,CA,11,1997-03,49624.23
395057,San Francisco,CA,11,1997-06,50448.24
395057,San Francisco,CA,11,1997-09,51169.93
395057,San Francisco,CA,11,1997-12,51835.71
395057,San Francisco,CA,11,1998-03,52884.43
395057,San Francisco,CA,11,1998-06,53832.82
395057,San Francisco,CA,11,1998-09,55374.7
395057,San Francisco,CA,11,1998-12,57240.17
395057,San Francisco,CA,11,1999-03,59171.15
395057,San Francisco,CA,11,1999-06,61018.63
395057,San Francisco,CA,11,1999-09,61804.19
395057,San Francisco,CA,11,1999-12,61792.76
395057,San Francisco,CA,11,2000-03,62324.83
395057,San Francisco,CA,11,2000-06,62977.8
395057,San Francisco,CA,11,2000-09,63910.07
395057,San Francisco,CA,11,2000-12,64270.79
395057,San Francisco,CA,11,2001-03,64606.79
395057,San Francisco,CA,11,2001-06,64197.96
395057,San Francisco,CA,11,2001-09,63838.86
395057,San Francisco,CA,11,2001-12,63274.43
395057,San Francisco,CA,11,2002-03,62966.48
395057,San Francisco,CA,11,2002-06,62910.67
395057,San Francisco,CA,11,2002-09,62672.52
395057,San Francisco,CA,11,2002-12,62219.04
395057,San Francisco,CA,11,2003-03,61892.57
395057,San Francisco,CA,11,2003-06,61776.64
395057,San Francisco,CA,11,2003-09,61859.22
395057,San Francisco,CA,11,2003-12,62051.43
395057,San Francisco,CA,11,2004-03,62316.88
395057,San Francisco,CA,11,2004-06,62619.44
395057,San Francisco,CA,11,2004-09,63196.67
395057,San Francisco,CA,11,2004-12,64199.2
395057,San Francisco,CA,11,2005-03,64929.19
395057,San Francisco,CA,11,2005-06,65794.66
395057,San Francisco,CA,11,2005-09,66398.62
395057,San Francisco,CA,11,2005-12,67196.81
395057,San Francisco,CA,11,2006-03,68380.92
395057,San Francisco,CA,11,2006-06,69290.48
395057,San Francisco,CA,11,2006-09,70315.56
395057,San Francisco,CA,11,2006-12,71248.41
395057,San Francisco,CA,11,2007-03,72441.23
395057,San Francisco,CA,11,2007-06,73611.5
395057,San Francisco,CA,11,2007-09,74196.14
395057,San Francisco,CA,11,2007-12,74273.72
395057,San Francisco,CA,11,2008-03,74189.24
395057,San Francisco,CA,11,2008-06,74428.2
395057,San Francisco,CA,11,2008-09,74906.99
395057,San Francisco,CA,11,2008-12,75481.14
395057,San Francisco,CA,11,2009-03,75172.25
395057,San Francisco,CA,11,2009-06,75119.77
395057,San Francisco,CA,11,2009-09,74450.8
395057,San Francisco,CA,11,2009-12,73521.59
395057,San Francisco,CA,11,2010-03,72999.45
395057,San Francisco,CA,11,2010-06,73006.01
395057,San Francisco,CA,11,2010-09,72890.05
395057,San Francisco,CA,11,2010-12,72871.76
395057,San Francisco,CA,11,2011-03,73138.14
395057,San Francisco,CA,11,2011-06,73319.12
395057,San Francisco,CA,11,2011-09,73448.62
395057,San Francisco,CA,11,2011-12,73320.78
395057,San Francisco,CA,11,2012-03,73940.77
395057,San Francisco,CA,11,2012-06,74631.15
395057,San Francisco,CA,11,2012-09,75687.78
395057,San Francisco,CA,11,2012-12,77770.74
395057,San Francisco,CA,11,2013-03,78307.98
395057,San Francisco,CA,11,2013-06,79303.33
395057,San Francisco,CA,11,2013-09,79074.27
395057,San Francisco,CA,11,2013-12,80338.51
395057,San Francisco,CA,11,2014-03,81617.52
395057,San Francisco,CA,11,2014-06,83142.69
395057,San Francisco,CA,11,2014-09,84601.99
395057,San Francisco,CA,11,2014-12,85793.38
395057,San Francisco,CA,11,2015-03,87056.94
395057,San Francisco,CA,11,2015-06,88440.75
395057,San Francisco,CA,11,2015-09,90239.47
395057,San Francisco,CA,11,2015-12,92157.65
395057,San Francisco,CA,11,2016-03,93638.4
395057,San Francisco,CA,11,2016-06,94949
395057,San Francisco,CA,11,2016-09,96297.22
395057,San Francisco,CA,11,2016-12,97658.01
395057,San Francisco,CA,11,2017-03,99269.76
395057,San Francisco,CA,11,2017-06,100886.04
395057,San Francisco,CA,11,2017-09,102450.25
395057,San Francisco,CA,11,2017-12,104245.91
395057,San Francisco,CA,11,2018-03,105089.13312453
395057,San Francisco,CA,11,2018-06,105932.356249059
395057,San Francisco,CA,11,2018-09,106775.579373589
395057,San Francisco,CA,11,2018-12,107618.802498119
395078,Seattle,WA,15,1979-03,19308.89
395078,Seattle,WA,15,1979-06,19683.14
395078,Seattle,WA,15,1979-09,20166.95
395078,Seattle,WA,15,1979-12,20657.45
395078,Seattle,WA,15,1980-03,21205.21
395078,Seattle,WA,15,1980-06,21675.64
395078,Seattle,WA,15,1980-09,22096.84
395078,Seattle,WA,15,1980-12,22456.73
395078,Seattle,WA,15,1981-03,22768.26
395078,Seattle,WA,15,1981-06,23014.35
395078,Seattle,WA,15,1981-09,23323.6
395078,Seattle,WA,15,1981-12,23681.52
395078,Seattle,WA,15,1982-03,23966.07
395078,Seattle,WA,15,1982-06,24095.4
395078,Seattle,WA,15,1982-09,24237.74
395078,Seattle,WA,15,1982-12,24367.7
395078,Seattle,WA,15,1983-03,24614.92
395078,Seattle,WA,15,1983-06,24879.36
395078,Seattle,WA,15,1983-09,25083.49
395078,Seattle,WA,15,1983-12,25333.44
395078,Seattle,WA,15,1984-03,25578.32
395078,Seattle,WA,15,1984-06,25866.89
395078,Seattle,WA,15,1984-09,26150.77
395078,Seattle,WA,15,1984-12,26507.11
395078,Seattle,WA,15,1985-03,26936.53
395078,Seattle,WA,15,1985-06,27314.53
395078,Seattle,WA,15,1985-09,27701.68
395078,Seattle,WA,15,1985-12,28005.07
395078,Seattle,WA,15,1986-03,28417.86
395078,Seattle,WA,15,1986-06,28808.73
395078,Seattle,WA,15,1986-09,29284.82
395078,Seattle,WA,15,1986-12,29832.01
395078,Seattle,WA,15,1987-03,30258.76
395078,Seattle,WA,15,1987-06,30651.19
395078,Seattle,WA,15,1987-09,30942.05
395078,Seattle,WA,15,1987-12,31509.82
395078,Seattle,WA,15,1988-03,32028.77
395078,Seattle,WA,15,1988-06,32565.54
395078,Seattle,WA,15,1988-09,32980.18
395078,Seattle,WA,15,1988-12,33554.54
395078,Seattle,WA,15,1989-03,34341.19
395078,Seattle,WA,15,1989-06,35068.22
395078,Seattle,WA,15,1989-09,35451.36
395078,Seattle,WA,15,1989-12,35363.21
395078,Seattle,WA,15,1990-03,35556.09
395078,Seattle,WA,15,1990-06,35824.8
395078,Seattle,WA,15,1990-09,36251.45
395078,Seattle,WA,15,1990-12,36554.09
395078,Seattle,WA,15,1991-03,36851.14
395078,Seattle,WA,15,1991-06,37155.43
395078,Seattle,WA,15,1991-09,37311.36
395078,Seattle,WA,15,1991-12,37315.54
395078,Seattle,WA,15,1992-03,37448.32
395078,Seattle,WA,15,1992-06,37534.16
